"","fit.File","standardization","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","param.name"
"1","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","unstd",0.01,0.029,0.347,-0.046,0.068,FALSE,"Between","X.WITH.PHI"
"2","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","unstd",0.624,0.106,0,0.453,0.872,TRUE,"Between","X.WITH.LOGV"
"3","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","unstd",-0.037,0.022,0.045,-0.082,0.006,FALSE,"Between","PHI.WITH.LOGV"
"4","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","unstd",2.072,0.103,0,1.873,2.275,TRUE,"Between","Means.X"
"5","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","unstd",0.421,0.025,0,0.369,0.468,TRUE,"Between","Means.PHI"
"6","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","unstd",0.121,0.079,0.059,-0.036,0.283,FALSE,"Between","Means.LOGV"
"7","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","unstd",0.906,0.158,0,0.648,1.271,TRUE,"Between","Variances.X"
"8","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","unstd",0.028,0.008,0,0.016,0.048,TRUE,"Between","Variances.PHI"
"9","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","unstd",0.535,0.093,0,0.387,0.755,TRUE,"Between","Variances.LOGV"
"10","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","stdyx",0.421,0.018,0,0.383,0.456,TRUE,"Within.Std.Averaged.Over.Clusters","PHI|X.ON.X&1"
"11","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","stdyx",0.796,0.015,0,0.765,0.825,TRUE,"Within.Std.Averaged.Over.Clusters","LOGV.|.X"
"12","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","stdyx",0.065,0.174,0.347,-0.28,0.396,FALSE,"Between","X.WITH.PHI"
"13","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","stdyx",0.902,0.037,0,0.816,0.958,TRUE,"Between","X.WITH.LOGV"
"14","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","stdyx",-0.311,0.166,0.045,-0.601,0.05,FALSE,"Between","PHI.WITH.LOGV"
"15","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","stdyx",2.177,0.206,0,1.797,2.597,TRUE,"Between","Means.X"
"16","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","stdyx",2.493,0.395,0,1.818,3.419,TRUE,"Between","Means.PHI"
"17","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","stdyx",0.166,0.109,0.059,-0.046,0.388,FALSE,"Between","Means.LOGV"
"18","D:/Users/haqiq001/Documents/sim-floor-effect/self-sim/experiment-a_DAR/fit_Rep-2_uSeed-21978_iter-2000_thin-5.rds","stdyx",1,0,0,1,1,FALSE,"Between","Variances.X"
