"l2.dist","Model","N","phi","T","sim.Seed","Rep","uSeed","sim.Path","sim.File","sim.StartTime","sim.EndTime","sim.ElapsedTime"
"Gaussian","BinAR",100,0.4,30,0,1,"11956","self-sim/generated-data","l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-30_Rep-1_uSeed-11956.Rdata",2021-11-06 19:02:30,2021-11-06 19:02:32,1.88201403617859
"Chi2","BinAR",100,0.4,30,0,1,"11963","self-sim/generated-data","l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-30_Rep-1_uSeed-11963.Rdata",2021-11-06 19:02:38,2021-11-06 19:02:39,1.35500597953796
"Gaussian","Chi2AR",100,0.4,30,0,1,"11967","self-sim/generated-data","l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-30_Rep-1_uSeed-11967.Rdata",2021-11-06 19:02:35,2021-11-06 19:02:38,3.02102208137512
"Chi2","Chi2AR",100,0.4,30,0,1,"11974","self-sim/generated-data","l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-30_Rep-1_uSeed-11974.Rdata",2021-11-06 19:02:34,2021-11-06 19:02:38,3.68902897834778
"Gaussian","BinAR",100,0.4,100,0,1,"13286","self-sim/generated-data","l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-100_Rep-1_uSeed-13286.Rdata",2021-11-06 19:02:34,2021-11-06 19:02:41,6.67303800582886
"Chi2","BinAR",100,0.4,100,0,1,"13293","self-sim/generated-data","l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-100_Rep-1_uSeed-13293.Rdata",2021-11-06 19:02:41,2021-11-06 19:02:46,5.39405417442322
"Gaussian","Chi2AR",100,0.4,100,0,1,"13297","self-sim/generated-data","l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-100_Rep-1_uSeed-13297.Rdata",2021-11-06 19:02:31,2021-11-06 19:02:40,9.10006308555603
"Chi2","Chi2AR",100,0.4,100,0,1,"13304","self-sim/generated-data","l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-100_Rep-1_uSeed-13304.Rdata",2021-11-06 19:02:31,2021-11-06 19:02:35,3.90202689170837
"Gaussian","BinAR",100,0.4,1000,0,1,"120386","self-sim/generated-data","l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-1000_Rep-1_uSeed-120386.Rdata",2021-11-06 19:02:21,2021-11-06 19:02:27,6.16605710983276
"Chi2","BinAR",100,0.4,1000,0,1,"120393","self-sim/generated-data","l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-1000_Rep-1_uSeed-120393.Rdata",2021-11-06 19:02:32,2021-11-06 19:02:45,12.9890918731689
"Gaussian","Chi2AR",100,0.4,1000,0,1,"120397","self-sim/generated-data","l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-1000_Rep-1_uSeed-120397.Rdata",2021-11-06 19:02:21,2021-11-06 19:02:25,3.71902322769165
"Chi2","Chi2AR",100,0.4,1000,0,1,"120404","self-sim/generated-data","l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-1000_Rep-1_uSeed-120404.Rdata",2021-11-06 19:02:21,2021-11-06 19:02:27,5.83003902435303
"Gaussian","BinAR",100,0.4,30,0,2,"21956","self-sim/generated-data","l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-30_Rep-2_uSeed-21956.Rdata",2021-11-06 19:02:40,2021-11-06 19:02:46,5.84104180335999
