"l2.dist","Model","N","phi","T","sim.Seed","Rep","uSeed","sim.Path","sim.File","sim.StartTime","sim.EndTime","sim.ElapsedTime"
"Gaussian","BinAR",100,0.4,30,0,1,"11956","self-sim/sim_files","sim_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-30_Rep-1_uSeed-11956.rds",2021-11-06 20:58:40,2021-11-06 20:58:40,0.767637014389038
"Chi2","BinAR",100,0.4,30,0,1,"11963","self-sim/sim_files","sim_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-30_Rep-1_uSeed-11963.rds",2021-11-06 20:58:40,2021-11-06 20:58:40,0.639529943466187
"Gaussian","Chi2AR",100,0.4,30,0,1,"11967","self-sim/sim_files","sim_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-30_Rep-1_uSeed-11967.rds",2021-11-06 20:58:40,2021-11-06 20:58:41,0.761633157730103
"Chi2","Chi2AR",100,0.4,30,0,1,"11974","self-sim/sim_files","sim_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-30_Rep-1_uSeed-11974.rds",2021-11-06 20:58:40,2021-11-06 20:58:41,0.770640134811401
"Gaussian","BinAR",100,0.4,100,0,1,"13286","self-sim/sim_files","sim_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-100_Rep-1_uSeed-13286.rds",2021-11-06 20:58:40,2021-11-06 20:58:41,0.901747941970825
"Chi2","BinAR",100,0.4,100,0,1,"13293","self-sim/sim_files","sim_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-100_Rep-1_uSeed-13293.rds",2021-11-06 20:58:40,2021-11-06 20:58:40,0.732608079910278
"Gaussian","Chi2AR",100,0.4,100,0,1,"13297","self-sim/sim_files","sim_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-100_Rep-1_uSeed-13297.rds",2021-11-06 20:58:40,2021-11-06 20:58:41,0.81968092918396
"Chi2","Chi2AR",100,0.4,100,0,1,"13304","self-sim/sim_files","sim_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-100_Rep-1_uSeed-13304.rds",2021-11-06 20:58:40,2021-11-06 20:58:40,0.801665067672729
"Gaussian","BinAR",100,0.4,1000,0,1,"120386","self-sim/sim_files","sim_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-1000_Rep-1_uSeed-120386.rds",2021-11-06 20:58:40,2021-11-06 20:58:42,1.58831691741943
"Chi2","BinAR",100,0.4,1000,0,1,"120393","self-sim/sim_files","sim_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-1000_Rep-1_uSeed-120393.rds",2021-11-06 20:58:40,2021-11-06 20:58:42,1.56029295921326
