"uSeed","l2.dist","Model","N","phi","T","sim.Seed","Rep","sim.Path","sim.File","iter","thin","fit.Path","fit.File"
13308,"Gaussian","DAR",100,0.4,100,0,1,"self-sim_dar","sim_uSeed-13308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-1.rds",2000,5,"self-sim_dar","fit_uSeed-13308_iter-2000_thin-5_Rep-1.rds"
13315,"Chi2","DAR",100,0.4,100,0,1,"self-sim_dar","sim_uSeed-13315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-1.rds",2000,5,"self-sim_dar","fit_uSeed-13315_iter-2000_thin-5_Rep-1.rds"
23308,"Gaussian","DAR",100,0.4,100,0,2,"self-sim_dar","sim_uSeed-23308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds",2000,5,"self-sim_dar","fit_uSeed-23308_iter-2000_thin-5_Rep-2.rds"
23315,"Chi2","DAR",100,0.4,100,0,2,"self-sim_dar","sim_uSeed-23315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-2.rds",2000,5,"self-sim_dar","fit_uSeed-23315_iter-2000_thin-5_Rep-2.rds"
33308,"Gaussian","DAR",100,0.4,100,0,3,"self-sim_dar","sim_uSeed-33308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds",2000,5,"self-sim_dar","fit_uSeed-33308_iter-2000_thin-5_Rep-3.rds"
33315,"Chi2","DAR",100,0.4,100,0,3,"self-sim_dar","sim_uSeed-33315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-3.rds",2000,5,"self-sim_dar","fit_uSeed-33315_iter-2000_thin-5_Rep-3.rds"
43308,"Gaussian","DAR",100,0.4,100,0,4,"self-sim_dar","sim_uSeed-43308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds",2000,5,"self-sim_dar","fit_uSeed-43308_iter-2000_thin-5_Rep-4.rds"
43315,"Chi2","DAR",100,0.4,100,0,4,"self-sim_dar","sim_uSeed-43315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds",2000,5,"self-sim_dar","fit_uSeed-43315_iter-2000_thin-5_Rep-4.rds"
53308,"Gaussian","DAR",100,0.4,100,0,5,"self-sim_dar","sim_uSeed-53308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds",2000,5,"self-sim_dar","fit_uSeed-53308_iter-2000_thin-5_Rep-5.rds"
53315,"Chi2","DAR",100,0.4,100,0,5,"self-sim_dar","sim_uSeed-53315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds",2000,5,"self-sim_dar","fit_uSeed-53315_iter-2000_thin-5_Rep-5.rds"
63308,"Gaussian","DAR",100,0.4,100,0,6,"self-sim_dar","sim_uSeed-63308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds",2000,5,"self-sim_dar","fit_uSeed-63308_iter-2000_thin-5_Rep-6.rds"
63315,"Chi2","DAR",100,0.4,100,0,6,"self-sim_dar","sim_uSeed-63315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-6.rds",2000,5,"self-sim_dar","fit_uSeed-63315_iter-2000_thin-5_Rep-6.rds"
73308,"Gaussian","DAR",100,0.4,100,0,7,"self-sim_dar","sim_uSeed-73308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-7.rds",2000,5,"self-sim_dar","fit_uSeed-73308_iter-2000_thin-5_Rep-7.rds"
73315,"Chi2","DAR",100,0.4,100,0,7,"self-sim_dar","sim_uSeed-73315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-7.rds",2000,5,"self-sim_dar","fit_uSeed-73315_iter-2000_thin-5_Rep-7.rds"
83308,"Gaussian","DAR",100,0.4,100,0,8,"self-sim_dar","sim_uSeed-83308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-8.rds",2000,5,"self-sim_dar","fit_uSeed-83308_iter-2000_thin-5_Rep-8.rds"
83315,"Chi2","DAR",100,0.4,100,0,8,"self-sim_dar","sim_uSeed-83315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-8.rds",2000,5,"self-sim_dar","fit_uSeed-83315_iter-2000_thin-5_Rep-8.rds"
93308,"Gaussian","DAR",100,0.4,100,0,9,"self-sim_dar","sim_uSeed-93308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-9.rds",2000,5,"self-sim_dar","fit_uSeed-93308_iter-2000_thin-5_Rep-9.rds"
93315,"Chi2","DAR",100,0.4,100,0,9,"self-sim_dar","sim_uSeed-93315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-9.rds",2000,5,"self-sim_dar","fit_uSeed-93315_iter-2000_thin-5_Rep-9.rds"
103308,"Gaussian","DAR",100,0.4,100,0,10,"self-sim_dar","sim_uSeed-103308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-10.rds",2000,5,"self-sim_dar","fit_uSeed-103308_iter-2000_thin-5_Rep-10.rds"
103315,"Chi2","DAR",100,0.4,100,0,10,"self-sim_dar","sim_uSeed-103315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-10.rds",2000,5,"self-sim_dar","fit_uSeed-103315_iter-2000_thin-5_Rep-10.rds"
113308,"Gaussian","DAR",100,0.4,100,0,11,"self-sim_dar","sim_uSeed-113308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-11.rds",2000,5,"self-sim_dar","fit_uSeed-113308_iter-2000_thin-5_Rep-11.rds"
113315,"Chi2","DAR",100,0.4,100,0,11,"self-sim_dar","sim_uSeed-113315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-11.rds",2000,5,"self-sim_dar","fit_uSeed-113315_iter-2000_thin-5_Rep-11.rds"
123308,"Gaussian","DAR",100,0.4,100,0,12,"self-sim_dar","sim_uSeed-123308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-12.rds",2000,5,"self-sim_dar","fit_uSeed-123308_iter-2000_thin-5_Rep-12.rds"
123315,"Chi2","DAR",100,0.4,100,0,12,"self-sim_dar","sim_uSeed-123315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-12.rds",2000,5,"self-sim_dar","fit_uSeed-123315_iter-2000_thin-5_Rep-12.rds"
133308,"Gaussian","DAR",100,0.4,100,0,13,"self-sim_dar","sim_uSeed-133308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-13.rds",2000,5,"self-sim_dar","fit_uSeed-133308_iter-2000_thin-5_Rep-13.rds"
133315,"Chi2","DAR",100,0.4,100,0,13,"self-sim_dar","sim_uSeed-133315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-13.rds",2000,5,"self-sim_dar","fit_uSeed-133315_iter-2000_thin-5_Rep-13.rds"
143308,"Gaussian","DAR",100,0.4,100,0,14,"self-sim_dar","sim_uSeed-143308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-14.rds",2000,5,"self-sim_dar","fit_uSeed-143308_iter-2000_thin-5_Rep-14.rds"
